,open,high,low,close,volume,value
2025-04-29 19:34:00,136930000.0,136945000.0,136829000.0,136945000.0,0.55677242,76236693.53802
2025-04-29 19:34:00,136930000.0,136930000.0,136930000.0,136930000.0,0.02276259,3116881.4487
2025-04-29 19:34:00,136930000.0,136930000.0,136930000.0,136930000.0,0.11869762,16253265.1066
2025-04-29 19:34:00,136930000.0,136930000.0,136930000.0,136930000.0,0.11734572,16068149.4396
2025-04-29 19:35:00,136827000.0,136890000.0,136806000.0,136826000.0,0.28195523,38576075.54144
2025-04-29 19:35:00,136827000.0,136890000.0,136806000.0,136806000.0,0.27428366,37526405.30462
2025-04-29 19:35:00,136827000.0,136890000.0,136826000.0,136826000.0,0.04246715,5810972.21459
2025-04-29 19:35:00,136827000.0,136890000.0,136826000.0,136890000.0,0.04239091,5800540.60035
2025-04-29 19:35:00,136827000.0,136827000.0,136826000.0,136826000.0,0.03682095,5038068.77595
2025-04-29 19:35:00,136827000.0,136890000.0,136826000.0,136826000.0,0.06419001,8783224.25695
2025-04-29 19:35:00,136827000.0,136890000.0,136826000.0,136890000.0,0.04209871,5760541.34235
2025-04-29 19:35:00,136827000.0,136890000.0,136826000.0,136826000.0,0.06426388,8793331.59357
2025-04-29 19:35:00,136827000.0,136827000.0,136826000.0,136826000.0,0.00849102,1161797.77377
2025-04-29 19:35:00,136827000.0,136890000.0,136815000.0,136826000.0,0.08780929,12014868.90411
2025-04-29 19:35:00,136827000.0,136890000.0,136806000.0,136826000.0,0.27995523,38302423.54144
2025-04-29 19:35:00,136827000.0,136890000.0,136815000.0,136815000.0,0.08550929,11700169.10411
2025-04-29 19:35:00,136827000.0,136827000.0,136826000.0,136826000.0,0.03609099,4938191.26899
2025-04-29 19:36:00,136826000.0,136890000.0,136802000.0,136890000.0,0.229864,31458665.19829
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136889000.0,0.16430597,22484458.57888
2025-04-29 19:36:00,136826000.0,136890000.0,136802000.0,136890000.0,0.19060005,26083823.23279
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136889000.0,0.16496837,22575133.40356
2025-04-29 19:36:00,136826000.0,136890000.0,136802000.0,136890000.0,0.19053005,26074240.93279
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136802000.0,0.001198,163947.51263
2025-04-29 19:36:00,136826000.0,136889000.0,136826000.0,136889000.0,0.00085869,117529.22601
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136888000.0,0.11319508,15487957.8535
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136802000.0,0.006498,888998.11263
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136889000.0,0.16506146,22587876.40057
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136802000.0,0.0085268,1166542.01023
2025-04-29 19:36:00,136826000.0,136890000.0,136802000.0,136890000.0,0.21764175,29785561.39579
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136889000.0,0.18573524,25417883.9667
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136889000.0,0.17343575,23734219.08009
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136827000.0,0.08677144,11872488.23489
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136827000.0,0.07640167,10453623.7151
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136826000.0,0.0135268,1850672.01023
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136827000.0,0.11315855,15482957.33486
2025-04-29 19:36:00,136826000.0,136889000.0,136802000.0,136889000.0,0.17623575,24117508.28009
